CUSTOMER_ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,GENDER,INCOME,SALESPERSON_ID
54,Adelaide,Hancox,2 Coleman Parkway,Odessa,TX,88125,432-547-0850,F,2687566,2
55,Rhea,Lawly,695 Graceland Place,Galveston,TX,13596,409-375-6215,F,5605734,27
56,Steffi,Kurtis,6 School Junction,Carol Stream,IL,57350,309-208-4478,F,4698805,60
57,Madeline,Beak,4 Redwing Place,Clearwater,FL,69014,813-773-3493,F,9817923,29
58,Caro,Rentcome,759 Fairfield Court,Glendale,AZ,94703,602-239-3814,F,8450041,53
59,Shae,Glauber,30119 Village Court,Raleigh,NC,59044,919-321-1083,F,3373127,89
60,Maurita,Bertelmot,23 Pennsylvania Street,El Paso,TX,81037,915-173-3940,F,2228746,43
61,Lucas,Madgewick,7984 Lerdahl Junction,Florence,SC,53779,843-575-6791,M,9430419,35
62,Neddy,Libbey,6 Larry Avenue,Marietta,GA,71703,404-464-1642,M,5404043,23
63,Mohandis,Fuente,10 Mcguire Parkway,Washington,DC,64921,202-832-5288,M,1586643,100
64,Terri,Snoden,71 Mifflin Drive,San Antonio,TX,97622,210-140-5703,M,5438982,4
65,Niel,Gomez,7 Lawn Lane,Rochester,MN,46453,507-769-6387,M,8192764,62
66,Alethea,Stryde,18853 Ronald Regan Plaza,Charlotte,NC,37755,704-363-3700,F,6553480,25
67,Dannel,Rivitt,2159 Fallview Road,Charleston,WV,49457,304-847-4866,M,4476274,12
68,Udell,Thompson,50 Glendale Alley,North Las Vegas,NV,19375,702-940-5742,M,3857269,62
69,Fara,Mewitt,17 Prairie Rose Lane,Athens,GA,95912,706-781-1177,F,223811,7
70,Cori,Strowther,54 Northwestern Lane,Albuquerque,NM,42000,505-912-0453,M,7404564,69
71,Mikael,Simmons,84 Quincy Way,Bakersfield,CA,42552,661-865-0728,M,7883735,36
72,Roxanne,McLarens,0 Schurz Pass,Saint Louis,MO,39128,314-410-6651,F,4574261,60
73,Leland,Purvess,9 Dahle Avenue,Columbia,SC,38183,803-711-2772,F,7575116,86
74,Franny,Yanyshev,469 1st Court,Tyler,TX,82612,903-234-4877,M,4341451,34
75,Gillie,Woodland,9 Clarendon Pass,Fort Worth,TX,43033,682-253-9554,F,3348245,1
76,Abigael,Maplesden,8898 Manufacturers Place,Oklahoma City,OK,50943,405-302-2982,F,6753107,9
77,Alexei,Thor,82 Waxwing Road,Louisville,KY,66834,502-590-2377,M,3148548,59
78,Denise,Dahlman,347 Bunker Hill Center,Topeka,KS,67350,785-805-3868,F,5402690,68
79,Celina,Hilldrop,8 Oak Valley Place,Canton,OH,55684,330-666-5723,F,8362843,33
80,Dicky,Garralts,16 Heath Park,Asheville,NC,14721,828-131-2206,M,3748733,27
81,Shara,Frankiewicz,0711 Larry Pass,Albuquerque,NM,99597,505-147-0157,F,4675074,8
82,Gavrielle,Normabell,0461 Portage Circle,Mobile,AL,50932,251-513-5621,F,3553011,19
83,Petronille,Ungerecht,0 Jenna Point,Metairie,LA,14808,504-385-9930,F,4495730,11
84,Guthry,Conford,51 Maple Way,Milwaukee,WI,38071,414-499-9654,M,7002645,8
85,Bernardina,Myrtle,9897 Ruskin Trail,Baltimore,MD,60410,443-766-5120,F,8360367,39
86,Valene,Blakiston,1 Shopko Lane,Reading,PA,58432,610-226-7535,F,7433058,86
87,Mordecai,Thornewill,82 Fulton Lane,Miami,FL,87793,786-773-7250,M,5880059,85
88,Cedric,Tinkham,8 Mifflin Pass,Daytona Beach,FL,38559,407-211-6950,M,7478615,29
89,Leta,Forrestill,948 Parkside Junction,Arlington,VA,63100,703-939-5174,F,9372120,26
90,Lyndell,Fenwick,29230 Stephen Parkway,Apache Junction,AZ,59434,480-612-0774,F,3438914,96
91,Benoite,Marjoram,138 North Plaza,Fort Pierce,FL,60109,772-486-7608,F,9640154,45
92,Harlan,Edgars,188 Talisman Alley,Oklahoma City,OK,90828,405-935-5735,M,8485182,10
93,Phineas,Crabb,0722 Barnett Crossing,Montgomery,AL,63311,334-930-6047,M,8284697,83
94,Damaris,Lisciardelli,07 Crownhardt Point,Tulsa,OK,34469,918-955-3887,F,5824079,26
95,Shaun,Creamen,42667 Colorado Pass,Tacoma,WA,34638,253-965-8712,F,1484462,4
96,Neille,Simonaitis,37886 Ruskin Avenue,Eugene,OR,51624,541-265-7481,F,6433735,7
97,Barbaraanne,Joberne,9884 Upham Circle,El Paso,TX,24157,915-480-0221,F,1606730,50
98,Kellby,Burgum,0 Mockingbird Terrace,Aurora,CO,38550,303-404-3527,M,1200041,66
99,Marylin,Simmers,800 Lakeland Junction,Philadelphia,PA,85771,267-667-3529,F,7702699,58
100,Tatiania,Ackrill,98 Bay Circle,Moreno Valley,CA,71946,951-348-8684,F,8655939,64
101,Dory,Capon,68 Walton Crossing,Flint,MI,61567,810-770-1133,F,6462196,83
102,Ado,Rozanski,92 Independence Lane,Jacksonville,FL,33968,904-859-4892,M,9259835,33
103,Donaugh,Clewlow,12838 Hintze Street,El Paso,TX,44070,915-662-4584,M,5996572,13
104,Daryl,Lucius,3 Lyons Pass,Richmond,VA,81041,804-128-2830,F,9416676,76
105,Pearle,Bonett,12245 Michigan Alley,Nashville,TN,94616,615-674-5217,F,6771549,95
106,Belicia,Gabbett,9 Corscot Point,New York City,NY,23304,646-323-4038,F,5083918,53
107,Hugues,Clemmens,6 Stoughton Place,Harrisburg,PA,36879,717-474-3687,M,7767209,21
108,Hanny,Dockery,486 Cambridge Road,Fort Myers,FL,94061,239-304-4745,F,570505,35
109,Jenifer,Rainer,1379 Warner Junction,Wilmington,DE,67352,302-193-4499,F,3531911,76
110,Bertrand,Jowling,2 Dayton Pass,Birmingham,AL,47857,205-450-0343,M,4568422,74
111,Ricki,Busse,10038 Sugar Circle,Baton Rouge,LA,67454,225-396-7126,F,3467133,60
112,Armand,Baseggio,94 Sauthoff Park,Boise,ID,18839,208-589-8723,M,8101561,55
113,Claudina,Fisher,41 Raven Park,Odessa,TX,40821,432-717-0024,F,1384980,56
114,Gorden,Olczak,74 Holy Cross Crossing,Edmond,OK,64099,405-685-6510,M,4958689,19
115,Tracy,Akess,42197 Portage Place,Van Nuys,CA,79942,213-799-1531,M,1720895,35
116,Cassie,Power,6 Barnett Pass,Charleston,SC,41798,843-448-8042,M,404243,84
117,Val,Duffil,722 Fairfield Junction,Syracuse,NY,84597,315-437-0156,M,2722691,88
118,Beret,Twinbourne,8605 Aberg Plaza,Nashville,TN,94908,615-982-1160,F,3345838,87
119,Alidia,MacDiarmond,8 Forster Pass,Port Saint Lucie,FL,47342,772-554-2478,F,1313501,42
120,Arne,Baldazzi,1 Jay Crossing,Erie,PA,19284,814-528-0549,M,9575346,5
121,Hashim,Emmer,6484 Acker Trail,Montgomery,AL,83035,334-868-8192,M,8190901,26
122,Merrel,Treat,9879 Fremont Junction,Allentown,PA,20177,610-388-1223,M,7021042,85
123,Englebert,Satterlee,3186 Thackeray Trail,Albany,GA,12336,229-435-6315,M,3962567,18
124,Hillary,Standbrook,0 Schlimgen Pass,Stamford,CT,72036,203-785-2682,M,5863578,74
125,Nelie,Sibbs,0969 Pearson Lane,Omaha,NE,77130,402-873-2167,F,7366978,13
126,Almeta,Borrill,4 Service Parkway,Rochester,MN,39937,507-364-8072,F,9230498,94
127,Marcello,Karpov,3392 Starling Court,Tampa,FL,50793,813-960-2335,M,6680099,11
128,John,Giovanardi,229 Hayes Road,Wilmington,NC,96595,910-506-3872,M,9567719,92
129,Geno,Morten,58 Magdeline Alley,Bethesda,MD,85825,240-809-3776,M,6472655,55
130,Bond,Longworth,383 Carpenter Plaza,Davenport,IA,42060,563-514-4169,M,3087305,26
131,Brenden,Della Scala,7710 Talisman Center,Orange,CA,84739,760-418-4586,M,788113,18
132,Ofelia,Druhan,79607 Johnson Terrace,Abilene,TX,54975,325-955-6875,F,324121,47
133,Paulina,Grenshiels,6 Stoughton Place,Seattle,WA,86784,206-757-2229,F,9752417,82
134,Nettle,Cuttler,50108 Crescent Oaks Parkway,Atlanta,GA,20499,404-186-0595,F,2543113,72
135,Theadora,Skoggins,88460 Bayside Park,San Mateo,CA,14302,805-170-9353,F,7763098,12
136,Karla,Trayton,6 Montana Center,Harrisburg,PA,83006,717-180-7901,F,2020381,40
137,Sinclair,Halloway,29557 Eggendart Parkway,Grand Rapids,MI,20501,616-181-8990,M,8306757,20
138,Jacquie,de Copeman,43089 Hansons Circle,Littleton,CO,67884,720-331-3084,F,1536995,91
139,Casey,Kubacek,8 Gina Hill,New York City,NY,49197,917-488-3042,F,7692532,75
140,Martin,Edmondson,1 Larry Avenue,San Antonio,TX,62022,210-170-6636,M,1306000,50
141,Tiphani,Clift,751 Trailsway Alley,Dallas,TX,77757,214-254-4355,F,4520967,34
142,Forester,Squibe,51 Hauk Junction,Pittsburgh,PA,96026,412-979-1973,M,5746694,61
143,Nealy,Basilio,29824 Morrow Parkway,San Jose,CA,39556,408-512-3769,M,1549414,48
144,Jacquenetta,Rainsden,37 American Lane,Cedar Rapids,IA,58713,319-260-2411,F,4763982,1
145,Andee,Cooper,7763 Mockingbird Terrace,Harrisburg,PA,52890,717-170-6840,F,5045918,94
146,Jamaal,Manton,45 Dexter Place,Atlanta,GA,75670,404-970-7960,M,2579230,94
147,Puff,Marrion,5226 Delladonna Crossing,Boise,ID,30805,208-413-5717,M,7225925,74
148,Barr,MacInnes,92026 Canary Street,Honolulu,HI,40357,808-123-3499,M,4455914,76
149,Scarface,Lampard,9 Erie Center,Saint Louis,MO,16584,314-716-8733,M,1943793,18
150,Henrietta,Grabeham,91 Carberry Way,Albany,NY,54296,518-485-0164,F,386850,56
